@relation 'Classification de documents par opinion'

@attribute texte string
@attribute valeur {1,-1}

@data
"challenge audience story comedy verge ridicule film nothing audience director everybody film category B director goal viewer death job waste time bur waste time rating out",-1
"time comment movie torture u idea movie acting fan movie fear raj actor part movie clue director movie background score color theme background score camera",-1
"someone analogy thing movie plot nature movie recipe half list product start character development story development drivel plot something scene character character relationship luck carrot ruse end mystery mystery degree humanness effort someone film school project review waste hour half",-1
"fan movie time plenty grave park mention cast impersonator cameo surprise guy movie fun minute minute film mess",-1
"film sky budget idea actress everyone end result disaster journey fantasy world way audience laugh presentation story line spark sign magic film direction feature idea set paper collage layer boredom",-1
"movie budget zombie movie camera plot plot government experiment group zombie couple gore gore butcher shop body film movie rating",-1
"TV show flesh language front television film release well bikini competition dormitory plot strip-mine",-1
"world line lot course relation director audience movie film-making time cinematography acting premise way movie course self-destruction blow attention marvel fact way donut booze brain existence mankind degree dozen story story head chess way criminal chess gaming swell time giveaway something story case rip score kind borrowing robbery movie storyline bum speed movie roller-coaster ride attraction shorty movie cocktail life supply nausea nothing grasp direction story paper movie work help gem food soul stomach cost",-1
"movie movie attempt humor plot movie",-1
"title movie time achievement fact film category likes voting pattern film film time performance ghost",-1
"movie stench sun time film",-1
"book school teacher thing film book instinct watch advice film",-1
"film end world realism location style director story purpose film rating",-1
"time director name science-fiction stuff future dawn computer film industry terminator era money barrage advertising maximum profit margin bandwagon sake fact stance majority argument film positive dialogue something nephew tree house ship propeller theme music bodyguard cheese love story plight everyone word picture watching chasing something member boy band hour aspect point culture waste celluloid glory moment silence evening hour farce forgiveness fortune death lot kind rubbish luck money kind life time list silly interest tripe",-1
"film disaster interest movie viewing acting direction script satire film opening sequence sex-change operation film task help screen ego masturbation scene debut blonde role course role west sight year woman face horror film cast film direction film film footage movie anyone disaster beginning",-1
"crime drama movie spite car chase sequence flick family life code anyone stake brutality violence return shelf gangster look film drive-in fare actor calibre crime drama",-1
"movie opinion movie category performance thief lover ransom security software company order orphanage day synopsis story fact script direction quality dialogue plot rice-paper water movie comedy choreography budget piece work imagination credit credit person action performance nothing character role impression film dialogue cheap attempt mask screen fight camera direction dog film affair budget silver screen way film porn movie porn fact none",-1
"version number minute forty close-up freeze frame pose closing visage center screen ego sort record plot musical love affair entirety finale song back couple duet name credit wardrobe closet credit producer producer credit hairdresser cut film film direction opportunity box office film performance melodrama world singer road stardom lane while rocker ramp story man career newcomer success heroine nothing man trajectory bottom scene burden name love effort lady paramour twit film indifference material attempt performance character hand moment honesty time screen Everything ad hysteria chemistry love affair character symbol youth innocence age attraction route stardom film material way character villain film spark reason victim self sensitivity film joke back film racism trio film deal identity name character name name pride back film release fact film director material movie help ace cinematographer film purpose soundtrack album film thing vanity project",-1
"film book masterpiece character development plot effort sort soup book money movie faithful book film folly word",-1
"film film story line acting track humor name waste film time attempt",-1
"nothing movie woman soundtrack movie sound let movie mumble mutter volume home volume movie mirror test group time mistake mistake thought horror movie beheading girl top sweater shadow wall someone camera range cat camera audience weirdo laugh monster stage hand aluminum foil",-1
"tragedy anybody fact blotch doubt movie wife sex symbol decade beach reputation cast location nothing film estate action century daddy explorer stuff legend existence wisdom performance ditty elephant way time relationship testimony heat yodel movie cue star debut pidgin language dialog thing caravan plateau universe crew attempt snap abuse occasion swim occasion nudity lion boa constrictor zoology movie virginity closeness estate phone ride climax film heroine girl elephant tusk monologue law suit estate box office pity bliss",-1
"mess start message patience finish degree disappointment movie revenge movie nothing book fashion overstatement artsy fact nothing movie start story line character",-1
"movie mind movie home video school student flashback something flashback man polo shirt something cell phone store movie hour life day movie",-1
"mix budget % something backyard penthouse name tank love officer command meat sense decency action movie sex dearth action sex joke time man face pretense intelligence budget production dialog movement prop tank production role instant notice array right money couple character actor bit part pleasure house someone home",-1
"film experiment photography book director vision look film o attention cast story stunt pre-release press thing appearance credence album music film hit part inclusion relation film portion money film album home life time",-1
"film plot characterization life nothing story director girlfriend film main hero bot knife switch movie nothing antagonist guy movie room floor",-1
"lot someone sense powers-that-be waste celluloid el plot reason chest shot decision thing piece film name movie thing sequence something thing movie anything note com way movie anyone",-1
"fan horror handful none horror film gore plastic skull surprise film skull plot cousin group husband mansion husband wife incident wonder plot boy wife insane version stuff nothing special viewing version film idea",-1
"wife movie anticipation while movie honesty hell woman sympathy course V series token gay character movie",-1
"lot kind meaning means dross book director parody pretense director movie piece nonsense study alienation way film",-1
"remake movie version minute movie runtime storyline way government involvement flow scene beer bathroom movie time oil pan car life car stuff fool heel bullet fact car passing emotion everything step monotone radio statement garbage movie joke time",-1
"case boring chance story",-1
"movie part u n u movie time money friend movie day release v bore n n movie role movie movie show u result over-confidence",-1
"television reporting job girlfriend home house visitor planet friend life earth trouble bathroom laundry room opportunity time course love case everyone television story alien man television show name film plot reliance earthling alien storm rest cast production cover beg film flick store movie bore",-1
"monument directing title production work sense style story camera zoom lens style story course nonsense work time",-1
"film adaptation novel book author screenplay writer producer film adaptation book movie book resemblance bride love son housekeeper drunk love character book screen moment story film film disaster",-1
"episode experience brand comedy fame woman something idiot idiot none character none ability character comedy character lack persona appeal character character something genre satire world comedy",-1
"movie box worth reason d movie movie min credit movie bit nudity d horror movie thing nobody time movie cover movie name zombie movie time movie disappointment waste time",-1
"kind movie sketch conflict insult scene nightmare effort life character mustache ending gore fest cringe cinematography art direction makeup directing filmmaker dignity anything waste money lesson honesty integrity fiasco",-1
"Everyone possession time suffering stupidity note hitchhiker bank account information world cash film hindsight movie title suspension disbelief faith poster lobby film time man pawnshop picture revelation plot point film point language nuance depth field evil film movie spirit time specter dialogue angst film access defense budget liquor hold action decade army nod franchise film noir narration villain armor couple edition order day drugstore something migraine puree hint originality mass cheese picture movie stop B-movie promotion summer school lot therapy level film money brain need humanity film",-1
"extreme camera work camera time script acting top story logic point lead jail order interview story result role rash idiot frat boy item interest fact film location shame opportunity something crap",-1
"cartoon network approach programming show sugar sprite today television money money something absence originality television past recycle",-1
"entertainment twaddle con twist film interest half third alley chess game theory use material thing movie way scene camera plot reason gangster caper waste time incomprehensibility profundity film sense virtue escape confinement watch",-1
"start film film acting film film lover film singing",-1
"title walker nothing movie description movie plot thing movie son life person money time movie theater middle movie mistake suggestion producer life field cup",-1
"god word atheist fine word this documentary production existent premise thing exercise production director narration film shot way movie animation idea character man nothing existence view man time life preaching proportion death article historicity citation garbage history teacher healer sedition death crucifixion I end documentary director anything anyone example interview school principal way teacher director teaching hell fire thing way principal chance discussion interview stuff guy interview principal light school revenge childhood documentary nothing topic documentary downfall documentary",-1
"spiritualist faith load film street back arm head waste time time conclusion ego movie feel world worth beating",-1
"TV show youth year daughter musical somebody trip kind crap fan oeuvre",-1
"lot humor bond amount humor day comedy",-1
"trailer movie drama comedy effect thing wife time nonsense school kid waste time money",-1
"film film film title town factory sort thing opening viewer loser apartment beef dog food vinyl blow rubber sex doll porn thing git anything matter day vet agony pain girl incantation appearance process time night place podium reason dance nothing porn mag clerk girl spark way dad alter-ego school disguise pupil school teacher enough stuff dad detective partner pathologist daughter listing co-producer co-producer cinematographer difference credit piece crap making camera something way script structure excitement tension drama character development plot chain scene prostitute fact man apartment dildo jaw stuff scene transvestite incident police dialogue ending door sequel thought level point hope photography music kitchen blood screen room cut rubber slit throat scene flesh surprise cast crew anything day thing film awfulness incompetence case film close",-1
"film manifestation music use ridicule film music story scene film story development review",-1
"movie talk show everything show idea ringmaster displeasure theater mess movie jerry springer show jerry springer show jerry film plot daughter mother sleeping mother boyfriend mother idea jerry springer daughter boyfriend coincidence trailer park woman man friend bed course call therapist springer rest film film headache daughter movie kick ass karate master series look trash drunk thing shape touch idea fun country song show flick",-1
"performance man sequel plot absence man girl contact competition movie language part lame insult viewer intelligence family sequel",-1
"place viewing pleasure shelf self part humanity kind stuff second kind crap camera operation acting scene woman rat throat director crap nothing film director tripod shot music day movie act movie movie home party film movie",-1
"hero time movie show money money hero hole thing career rate rate moving beet crap way judo chop shoulder opponent guy ton something plot movie story novel book obligation effort enthusiasm use stock footage cut flight condition time film opinion time movie work glimmer man exit review movie dollar budget movie budget wonder movie theater owner movie",-1
"friend laugh",-1
"movie start day thing spread anything movie accident something name Everything someone team ship cast movie",-1
"rumor mid winner season winner spoiler ending rumor",-1
"film country disappointment bunch plot originality money time Switzerland",-1
"point production film sense cut mess anyone mess man dialogue reason continuity acting cinematography direction title film",-1
"film competition presentation blood time nothing war revenge behavior scepticism Catholicism tragedy can history pity movie nobody film",-1
"mind sequel star role reason tax write-off gap wrestler credit action sense excitement time life film stab villain role role kind line problem audience point view sense timing humility pleasure problem film action comedy production kind joke role career sight relief film story time investigation explanation project direction supercomputer film series glass dome film military project chopping block conversation army problem code system order shutdown code question order plot kit second rest film code subplot daughter reporter film story profession film brim command module body speech time foot fear mortality humanity length film film weakness strength action setup explanation state majority film writer viewer moment curiosity wonder explanation film hero tub ice gun uniform body time breath score manner kind film loss",-1
"movie kind college class synopsis movie thing information synopsis end gore factor beginning gore movie gore plot time movie information movie waste time",-1
"clue budget acting cinematography plot movie style tripod mark",-1
"movie must-see uniqueness film narrator subject style narration introduction edge seat film insight world audience horror film script movie elderly understanding grasp experience time groundbreaking cinematography word masterpiece",-1
"Anyone value piece crap head hooker wife body son breast milk kitchen floor release water husband prostitute daughter colleague sex corpse kid home mom moment pile tripe dad son thing turkey video waste film guy slop wonder movie",-1
"box movie zombie nation zombie filmmaker sort cult description film advice zombie nation anything point view place city film cop bullshit killer cop film zombie flick killer guy poison sex corpse protection reason life guy ocean revenge film crap category crap acting crap writing make-up make-up definition zombie gore nudity glimpse opening sequence figure actress police station warehouse lighting set-up director waste",-1
"movie book awfulness plot ton guilt child pain behavior clergy crime wife length ferry ride coo coo mother group setting island coast story film budget monastery island golf ferry service movie hairdo decade chemistry book movie music story acting mixture advice criticism father life jacket child boat part movie",-1
"time presence credibility time character film movie justice cable garbage mayhem problem film bit process viewer stomach sickness viewer intelligence cast guess time piece garbage chance",-1
"example ego king movie superman hero respect tights superman start movie u chunk kryptonite throat costume lane ass reporter movie schoolgirl plot son movie thing name portrayal movie movie cast course story movie",-1
"film propaganda equation disease repetition fact something object lesson stomach firm grip reason",-1
"thing chick while movie night thing movie script acting direction comment someone sex movie porn dude body nothing movie waste time script pro movie",-1
"laughter middle horror film signal greatness laughter audience re-release laughter voice Satan year girl case remake cult man character forest monster leg celery stalk arm hobby friend mine remake film friend actor realness music originality creepiness dialogue horror movie storyline believability fall playground film place police officer girl spin cop island coast state daughter photo daughter girl crash crash part girl body letter picture connection daughter island call nothing unison opportunity money film expense artistry someone touch magic film point chef set movie surname",-1
"money piece trash home rubbish movie time laugh woman thing",-1
"movie lot morning sort sounding acting direction continuity someone bunch plot movie plant device car reason device chase while bike point crash bike bike car rider rider bike return crash point car device agent car rest movie type type movie money favor someone",-1
"nothing movie floor movie combo everything film crap mind scene game death lack talent enjoyment movie book trace existence thing book figment imagination something order idea bit",-1
"par TV series time cheap film role garbage reviewer crime celluloid no-one helmet head film rating right board example franchise death idea original",-1
"B-grade name fan genre attempt lack nudity sex generation night TV",-1
"type film future film experiment story motive viewer mind film time window tree growing",-1
"anything spoiler movie gist sense plot movie audience head attempt theme purpose destiny choice platitude dream movie period realization existence lot movie movie paragraph strength weakness faith love nature interdependence technology faith technology importance choice experience detail commentary storyline gang end movie beginning faith action style display subtlety originality bit anything material while movie action action gunplay predecessor movie gunplay mix audience face movie action fight flag action end action sequence bit awesomeness movie sense desperation action sense fighting survival black leather movie fighting addition movie thing someone sort destruction ton money movie boy restraint movie hit reign character dialogue dialogue lot depth character script direction character progression audience face audience time nuance substance character performance film attempt passion everything V cat script attempt concern chemistry sense program script hand character bunch development excuse fight scene movie movie matrix scifi romp action symbolism experience installment lot hope film",-1
"fan dialogue plot twist movie money",-1
"idea art killer execution interest way film boring death part Everything performance investigator script limit character art expert police chief examiner back case couple door",-1
"order money drivel belief person actor rubbish toilet humour Anyone",-1
"sleep film quote amour camera work child story line love repetition butt pain film church parent kid life promoter viewing comment film film effect",-1
"story camera work group vampire thing blood sock puppet horror cowboy dude spaceship extremist comparison something camera work everybody crap remake movie stuff thing comparison masterwork",-1
"guy role story hearing story nothing movie something movie mom dad dad temper interest",-1
"couple film movie dialog story head hour-and-a-half story jam story lot term achievement life nonsense course today story series dozen sing ticket couple way heart",-1
"dialogue plot twist finger button moment poltergeist lady anyone moment",-1
"sleazeball thriller movie budget daughter mother world pornography organization snuff search daughter mother prostitution contact snuff organization lead danger problem movie director snuff trap enough amount nudity sex viewer attention plot ending acting alley bedroom matter man helm thriller",-1
"batch night night horror film fix story end dialogue page nothing film film % percent mess actress member cast talent reason chance name cover presence dreck professionalism story hilarity kind film house country crap movie thriller movie way age experience part audience stuff screen film hand sex trade-off story baby group character mom accent positive cesspool",-1
"writer life magazine publisher delirium rejection romance sweetheart prospect dramatization lot color trick photography mood",-1
"movie rogue program indication guy accent garbage purpose character bunch someone guy name problem point cause effect line toad line chocolate cake cliche wife nothing moment fight anything power time cut sword meal mind anything wow car chase scene trailer sequence fight reality something matrix nothing nothing chase climax movie plan monologue plan crew setup end reason question journey centre lot thought corridor fight scale moment finale architect everything guy architect potential climax look door humanity humanity choice something film hero choice humanity missus missus humanity torment tension fall potential cliffhanger no-one missus thing matrix life right end year everyone end love world sequel ending look thing f r cliffhanger cliffhanger reminder film film budget film schedule film film influence outside film fortune time money matrix film film",-1
"book film medium jump movie film movie question scene fan someone loss scare none shtick horror movie book work movie overlook member audience corridor film choice artwork mood character development horror movie out-of-place shot movie miracle turd film immense will movie cult idea work film resource front toss grotesque introduction performance movie",-1
"movie committee stage musical war horse sensation film anyone fit material musical movement screen lump clay score way someone film brand song movie zip surprise surprise song movie grade",-1
"movie actor potboiler opening plenty popcorn dead-end story movie point TV series role right cop show character reason love wife wife companionship body movie waste time everyone",-1
"description something computer mouth thing girl computer room computer hand puppet stuff computer nothing computer vehicle film trash trash trash lot sex scene woman love kiss tarantula floor direct-to-home video killer toothbrush fun sense",-1
"combination scifi period film history pseudoscience mixture history impression writer understanding technology history film subject sort impression spot tendency science point confusion information half-life life life movie value viewer subject perception science technology degree advancement magic",-1
"mill film infidelity period film pile scenario scenario cherry top time sympathy middle-class care life story line conclusion thing film hint film part rest",-1
"question movie movie place experience horror someone movie shred humor irony movie game script character character effect budget ad nausea brother choice scene footage game cousin band movie theme decline zombie way rave book everything anything someone horror movie panacea helicopter boom shot licensing deal movie student film studio release annihilation",-1
"rest zombie movie hood life place piece film winner acting piece paper example officer voice operator tone voice box talk guy yea snake impression par note sarcasm sort directing period piece period direction script movie epic word movie thriller course conjunction soundtrack hell movie movie intention scene boy anyone bunch laugh budget horror movie night experience",-1
"time film stage production film story wife line box office day film disappointment kick abdomen story outside theater portion meaning impact story order dance number song stage production reason film admiration talent work stage music musical call audition jazz story stage",-1
"problem skit car branch branch branch sort attention detail matter bit room floor value movie study movie distribution number waste time suspicion anyone age title anyone money average list time",-1
"art bunch film blood surfing foot crocodile croc boat reef look start",-1
"thing weight toy movie animation film film fun continuity princess dress move thing volume person design cos life",-1
"cast anything cover movie writing college budget scene sorority house college guy nerd guy guy mustache girl town girl teacher set guy college flick",-1
"something thing breath fact place place conflict troop halt love story blonde movie microcosm principle priest water place hieroglyphics guy guy guy movie nutshell acting dialogue lot patience way title",-1
"trouble sleeping actor interview scene car house camera range girdle motorcycle hood boy wonder fact guy cape batmobile car lot sticker price lot effort fact car fact serial acting dialogue script something utility belt fabric scene size blow torch scene cowl rabbit anything scene money second payoff reason package warehouse warehouse place ground scene motorist middle nowhere car man car police one car cliff motorist exposure way subplot clone house walk neighborhood Everything serial audience toast screen cinema mark entertainment serial",-1
"cinema seat house centre row spot seat film feeling variant feeling thing start film dozen",-1
"anything sack collection time list kernel movie crap Everything movie rate story acting action piece crap aka whole ballgame part movie night sleep coffee toast ersatz dance music living room torment luck",-1
"film aspect production behaviour part film inference bloke building fault avalanche avalanche slalom style work work dumbness stupidity space oxygen year fire idea movie appreciation modicum intelligence film quality someone hook order avalanche",-1
"film plot underground time service night maintenance access phone day age worst someone train control number security network thorn side story whole security city world city ignorance quality film disbelief tale rating film",-1
"title movie flop action movie point series type deal movie plot plot point movie solution anything movie killing greed movie entertainment while storyline nothing thing movie",-1
"movie religion religion opinion movie insight movie writer author beauty creator passion gratification context marriage society story nudity man woman act marriage oversimplification husband wife pleasure man wife flesh man flesh song book wife youth way way union enjoyment value teaching religion misapplication tradition faith wisdom plan movie content insight treatment tradition society",-1
"horror plot pile garbage movie dialogue god nothing right movie category heaven sake",-1
"camera floor film take shot film video movie revolution son year soap opera music film zoom function camera time audience something kind waste time movie glimmer hope back mind film laser battle movie thing time movie review peace",-1
"exposure title cult print quality fact film opening sequence revenge thing motion everything movie insult injury movie jacket",-1
"man work way movie company god movie plain pile something guideline text comment movie novel comment",-1
"movie husband version year daughter movie movie series past",-1
"film fashion acting script time film hall shame film actress descendant lesson film girl time waste film torture camera scene movie viewer film original coffin corpse square idea legacy intelligence film goose plot necklace script attention camera mind lighting sake film student film pile loosing investment strength mistake movie part end film film time goose",-1
"rating movie zero yew mess movie lot work guy mentality twelve year poop fart example character character attempt humor lameness movie humor part",-1
"period film excuse depiction heroine affair beast monster century film depiction beast guy fur suit mask tube liquid animal porn turn-on sex square",-1
"movie hour nothing zip story film court law motion picture motion story couple script joke script doctor world regret life watching love opportunity leader bit",-1
"time principle melodrama spinster brilliance actress simpleton part extreme cast bit time bit actress choice cast production",-1
"picture movie nothing ending movie sequel television episode episode week part part movie money rest story movie music playing writing screen sentence inmate age wow walk death jail trial detail movie place disbelief end review movie",-1
"thing star film character grating performance actor gasp hair talk stock character couple drama screen time cast woman partner love character performance predictability situation film promotion character purpose fun way nonsense while luck lesbian party date hair nerve date party woman disappointment course faithful couple sarcasm statement film premise performance movie cinema",-1
"viewing aid movie someone competence camera monkey acting part nothing quality past rest movie camera work camera man roller story hell place flesh order script dialogue plane climax movie version",-1
"movie city bus morning morning street film life movie anything year",-1
"original remake trailer accent set actor mansion backyard crap shop year woman mind movie trailer acting sex % trailer screen half anything top ridiculousness delivery part self door moon something way love love hate line year reign birth death piece crap art name matter yen trailer",-1
"piece composer parvenu lack talent size ego cartoon movie cent humor redneck creation viewer cinema theater time expense piece crap time money",-1
"movie decade chance debut feature video production attempt class youth bunch sex violence trace talent imagination expertise notion structure stuff hysteria clumsiness story fun everything spanking murder death staircase mother girl mother garbage landfill garbage film moralist crap drive filmmaker audience throat collar moralist rant repetition exhaustion direction camera acting bit technique quality recording soundtrack dialog comment point minimum structure realism video camera etc stylization repetition use alternate camera use camera dialog verbosity plot director hatred filmmaker benefit minimum talent technique mess film puppy dog edge direction memory realm porn film youth proof fiction fun highlight middle-class behavior self-righteousness technique boredom manner cinema case argument",-1
"end film movie movie answer movie bit meaning meaning rape director question crowd head horror war extermination war scene girl time president necessity war scene sword woman vagina archive war matter gravity horror expression",-1
"kind movie feeling time propaganda movie half action allegory whale hunting anything screen propaganda frame exception word propaganda movie morality play device good bad course action stone type art shallow sarcasm quest environment opinion sin movie material justification sake opinion length nothingness notice movie scenario evolution documentary kind installation form movie art concept director honesty music score whale",-1
"movie waste time warm film music film story direction pedestrian movie line minimum brevity kid talent time aging mentor spite father homophobia aging mentor lot conflict spoiler warning case someone information film boring waste time web site quality movie",-1
"piece crap PC nonsense figure boyfriend freak restraint thing character movie screen liner flick mother sort closure death daughter thing lady ice cream parlor woman electrolysis thing ice cream thing piece lipstick corpse body daughter excuse cinema slop word none sympathy instant piece crap death mother daughter matter load trash director",-1
"casting idea hunting movie racism picture production staff antagonist start spiral film directing affirmative-action job assignment master shot line camera work rewrite game attempt tale leader performance job bit trivia accident death driver accident",-1
"movie height sequel rampage time film topic place supporter Cinderella sequel Cinderella waste time character Cinderella sequel girl Cinderella Cinderella banquet way Cinderella sequel heck family question world original Cinderella sequel redemption forgiveness point redemption movie story movie name",-1
"plot coma soap-opera girl way movie bit metal band wonder sense vehicle band nothing FX look movie story",-1
"excuse film fit reason fear rate stinker public fan shape man age acting script dialog movie rip-off biker flick biker gang out-of-control group sister acting sand",-1
"movie review movie synopsis movie occult time travel plot episode idea writer idea sense time travel theme ending chronology movie budget anything fairness butcher guy vendetta movie anything horror genre movie thriller drama story movie hyped",-1
"movie dial dard film film scene hotel film scene climax film horse statue life music part style nothing type self",-1
"fan doubt game PC game anything keyboard control movement control mouse standard person standard game mess fan base series money advice fan game",-1
"hype everything actor dad wife guy joke lady waste actor movie director industry amount while time anyone lady",-1
"action lot score movie story acting case scenario playing acting waist time movie cry action film comedy movie shooter movie",-1
"half hour girl jock boyfriend homecoming world warrior aid snake tiger world movie culture acting casting actress role laugh cry everything movie something thing movie time movie action-adventure movie",-1
"movie gang closet queen gang money store movie tip scene life film film gang",-1
"clone cast script idea junk miss match storyline money film honour movie term director hour half life trash stuff monopoly",-1
"plot point end director camera crew day video",-1
"movie market music star song actor big-budget horse film cast everyone cast sport commentator time mistake director writer position reputation directing lam story cast vision production money movie box office success line movie money",-1
"fake slice life attempt director attention nothing general film audience book production camera style camera purpose let time film hip attempt anyone crowd acclaim film",-1
"humor world sitcom something show way weight piece garbage TV show stuff woman car humor toilet stuff garbage",-1
"summer statement superman stuff head idea approach story blockbuster way audience amount money hype everything atmosphere involvement film % crap movie soul heart tender character SR regard plot garbage landmass film lot junk cast screen personality mahogany journalist % agent judgement cast member year money pile crap movie cost opinion garbage life",-1
"movie beat death reason entirety movie horror film life loss movie suspense",-1
"movie movie movie answer burning question movie book message movie audience story story magic coincidence story time character development character end movie book life book film opportunity book close heart",-1
"reason movie zero selection plot depression era cabbage soup acting TV series director mark resume couple anybody contest year competition film movie scene submarine shot seawater periscope sub era",-1
"impact adult movie psychodrama movie plot evil start way way movie killing sex animal cruelty torture neglect merit color feeling anyone life peace mistake",-1
"reality spot spoof gang rock band thing premise bunch lead singer place suicide band act bunch lead singer band share rock song band rock night club city world uncreative reality show reality lame participant end show publicity stunt part band gasp hope stardom oblivion shred dignity grave band idea representative rock roll show proof rock roll",-1
"joke movie opening scene creature creature cage scientist monitor cage stuff fish tank shark cast effort guy mystery dumbness movie thing",-1
"movie fun fun scarecrow villain sentence luck story Everyone girl everybody premise movie bottom list kid mom mother boyfriend mom boyfriend kid house boyfriend kid corn field kid right front mom mom terror boyfriend mom anything police kid scarecrow kid scarecrow killer scarecrow vengeance tag movie movie spite crap acting script camera work respect lack effort level movie example movie risk Everyone distance movie",-1
"film idea year witch uncle year witch peat form pity way horror movie cheap mess anyone film witchcraft order",-1
"year movie rating friend turd house night reputation mess cloud space country opening sequence holiday variety story child labor apprentice devil hell nightmare movie experience name film context list movie nothing",-1
"movie fun TV series fondness series time fun movie justice series script sense wonder humour idea story steam reason something family suit voice work thing movie clue character actress idea love interest attack kind government operative actor I tendency movie fun shame lot potential idea execution",-1
"TV trademark title theme song computer animation scenery title dimension view spaceship amusement park version end theme song arrangement head family computer design story life style opinion",-1
"movie fight enjoyment lot air",-1
"film way comedian",-1
"cast idea director plot story joke sound film film reason",-1
"dollar movie print domain glory reputation gal character display classic husband femme screen appearance couple comedy style dancing",-1
"movie plot foot dragon dragon computer image film something someone movie film business movie video thing trailer move trailer video film star attraction store split screen technique atrocity piece crap film box cover picture hero dragon dragon way dragon film reject video game villain movement right leg leg leg dom dom dom dom effect way toon film fact film career time trailer film game story year brother room",-1
"something episode purchase thing experience incident acting job type show theater TV project laugh something firefly smoke something model rocket top type sci-fi film hype time disaster",-1
"film director attendance audience applause end festival character time hand mouth site work statement song rotation film jury award festival audience award",-1
"review paragraph film policy month cable channel disappointment girl century while something mistake stinker month present writing com jump holiday plot feature norm shock plot slide father time work father toy factory bank time time father son daughter way time dad boss home idea website world dollar computer chip sister concept company bank account dad business stock boss dad board cartoon image computer image someone home someone plot dad time fun stuff agent company stuff website cartoon image computer chip stuff school cast bank owner part throwaway scene ability nothing role judge parent idea present mood family preaching working family father offensive grandmother preaching idea must character plot love interest father offensiveness brain trust bottom script barrel movie fraud wait movie score out",-1
"line silly film movie machine funding man thing bow eye experiment doctor man world house help lab assistant something rat rest movie doctor hand diaper face paper work doctor sequel",-1
"commentary movie release copyright anything sound scene battlefield panorama track time dialog volume something orchestra dialog level wife way movie hand volume user audio dialog track dubbing disk movie library copy epic flick sound book storyline",-1
"time film time movie end scale film misfortune nothing movie script wife disbelief end",-1
"person brain bastardization work character way problem damsel distress afterthought action story genius",-1
"trouble respect film action body film drug director title character bit outsider school home school rapist film failure violence imagery generation youth war piece violence guy climax scene film anyone scene end film rest film act violence film war perpetrator violence reason celebrity status shame",-1
"actor family film director movie screenplay director TV show series writing dialogue programming movie series college alcohol tobacco way dialogue kindergarten humor plot venture motion picture blasphemy series thing place station faithful member society preference make series reviewer right context idea riding ride car make product placement car news flash TV movie predominance movie marketing vehicle series design time today design series effort design kind treatment movie everything excess sense functionality practicality lot design movie style sense function style sense reason series voice talent life music score audience story everything objective bit talk movie hand fault acting second music score mix course series ability statue outlet contact capability master disguise deception part information defense information film camera show release nemesis villain episode confrontation movie villain mind control ability ability flight time character series series confusion theater disgust word limit point movie matter fact series something lot lot action farce",-1
